,기간,자치구,공교육 만족도,사교육 만족도,사교육 수준 만족도,사교육 비용만족도,사교육 접근성 만족도
177,2020,용산구,5.16,5.36,6.36,4.14,5.58
178,2020,성동구,5.44,5.3,6.27,4.05,5.59
179,2020,광진구,5.08,5.44,6.32,4.32,5.69
180,2020,동대문구,5.26,5.22,6.03,4.23,5.39
181,2020,중랑구,5.42,5.31,5.74,4.54,5.65
182,2020,성북구,5.25,5.29,6.16,4.16,5.54
183,2020,강북구,4.88,5.43,6.0,4.32,5.97
184,2020,도봉구,5.29,5.4,6.28,4.15,5.77
185,2020,노원구,5.33,5.39,5.85,4.81,5.52
186,2020,은평구,5.18,4.9,5.05,3.89,5.75
187,2020,서대문구,5.33,5.46,6.32,4.32,5.75
188,2020,마포구,5.28,5.52,6.94,3.9,5.71
189,2020,양천구,5.23,5.21,5.6,4.15,5.87
190,2020,강서구,5.35,5.4,6.8,3.97,5.43
191,2020,구로구,5.36,5.56,6.41,4.43,5.84
192,2020,금천구,5.22,5.17,6.07,4.26,5.17
193,2020,영등포구,5.4,5.63,7.02,4.17,5.7
194,2020,동작구,5.38,5.31,5.68,4.37,5.88
195,2020,관악구,5.35,5.47,6.78,4.15,5.47
196,2020,서초구,5.39,5.58,6.03,4.36,6.35
197,2020,강남구,5.16,5.17,4.7,4.4,6.42
198,2020,송파구,5.41,5.43,5.96,4.26,6.07
199,2020,강동구,5.55,5.73,6.29,4.52,6.39
