,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
265,266.0,이충우,1958-08-13,Lotte Giants,1985,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,21.0,17.0,133.0,39.0,0.0,0.0,2.0,8.0,0.0,1.0,13.0,0.0,1.0,5.22,3.14,1.6,65.4,108.7,0.31,0.0,0.12
266,267.0,이길환,1959-07-15,MBC Blue Dragons,1985,8.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,35.1,16.0,13.0,148.0,28.0,0.0,0.0,2.0,15.0,0.0,3.0,6.0,0.0,2.0,3.31,4.14,1.22,100.9,80.6,0.3,0.0,0.12
267,268.0,양일환,1961-06-10,Samsung Lions,1984,20.0,1.0,0.0,10.0,2.0,5.0,1.0,0.0,64.0,34.0,33.0,272.0,57.0,0.0,0.0,7.0,33.0,6.0,4.0,20.0,0.0,1.0,4.64,4.39,1.41,71.8,75.9,0.28,0.0,0.11
268,269.0,김기태,1952-10-16,Samsung Lions,1987,17.0,5.0,1.0,15.0,7.0,5.0,0.0,0.0,95.0,57.0,50.0,418.0,89.0,0.0,0.0,8.0,48.0,5.0,12.0,46.0,0.0,3.0,4.74,4.33,1.44,75.3,82.4,0.28,0.0,0.11
269,270.0,이진우,1956-03-18,Lotte Giants,1985,34.0,0.0,0.0,6.0,0.0,6.0,3.0,0.0,69.0,40.0,33.0,304.0,70.0,0.0,0.0,8.0,48.0,0.0,3.0,44.0,1.0,5.0,4.3,4.67,1.71,79.2,73.1,0.26,0.0,0.11
270,271.0,박철순,1956-03-12,OB Bears,1983,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,10.1,4.0,4.0,43.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.48,2.44,1.36,94.0,133.9,0.26,0.0,
271,272.0,황태환,1952-08-06,OB Bears,1987,28.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,65.2,42.0,40.0,280.0,73.0,0.0,0.0,6.0,20.0,1.0,1.0,20.0,2.0,2.0,5.48,3.96,1.42,62.7,86.8,0.26,0.0,0.11
272,273.0,김재열,1961-04-25,Lotte Giants,1984,15.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,36.0,18.0,16.0,158.0,36.0,0.0,0.0,4.0,17.0,1.0,2.0,14.0,0.0,1.0,4.0,4.31,1.47,81.3,75.5,0.25,0.0,0.11
273,274.0,강만식,1957-02-15,Haitai Tigers,1986,19.0,1.0,0.0,14.0,4.0,6.0,2.0,0.0,72.2,39.0,35.0,331.0,91.0,0.0,0.0,6.0,25.0,2.0,5.0,24.0,0.0,0.0,4.33,3.64,1.6,70.4,83.7,0.23,0.0,0.11
274,275.0,신태중,1955-06-27,Samsung Lions,1985,34.0,1.0,0.0,3.0,3.0,4.0,4.0,0.0,103.2,72.0,55.0,459.0,119.0,0.0,0.0,17.0,42.0,0.0,7.0,48.0,1.0,11.0,4.77,4.84,1.55,76.3,75.3,0.22,0.0,0.11
275,276.0,신태중,1955-06-27,Chungbo Pintos,1986,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24.2,15.0,13.0,144.0,35.0,0.0,0.0,1.0,10.0,0.0,1.0,7.0,0.0,0.0,4.74,3.37,1.82,66.4,93.4,0.22,0.0,0.1
276,277.0,정선두,1959-06-06,OB Bears,1985,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9.2,5.0,5.0,39.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,4.66,2.22,1.14,76.6,160.8,0.22,0.0,0.1
277,278.0,성낙수,1957-08-12,Samsung Lions,1984,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,15.1,10.0,7.0,71.0,21.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,1.0,1.0,4.11,2.4,1.7,81.1,138.7,0.21,0.0,0.1
278,279.0,지성규,1969-11-15,Binggre Eagles,1988,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.2,6.0,6.0,61.0,14.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,3.95,4.7,1.61,99.3,83.5,0.21,0.0,0.09
279,280.0,이상윤,1960-12-21,Haitai Tigers,1987,12.0,0.0,0.0,12.0,2.0,4.0,0.0,0.0,42.0,26.0,23.0,186.0,46.0,0.0,0.0,1.0,19.0,0.0,1.0,13.0,0.0,0.0,4.93,3.59,1.55,70.8,97.2,0.21,0.0,
280,281.0,천창호,1954-02-13,Lotte Giants,1984,18.0,0.0,0.0,6.0,1.0,2.0,1.0,0.0,47.0,31.0,27.0,218.0,58.0,0.0,0.0,3.0,17.0,2.0,6.0,22.0,0.0,0.0,5.17,3.38,1.6,62.9,96.4,0.2,0.0,0.09
281,282.0,감사용,1957-03-23,Samsung Lions,1985,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.1,23.0,22.0,141.0,41.0,0.0,0.0,5.0,8.0,0.0,3.0,17.0,0.0,0.0,6.53,4.33,1.62,55.8,84.2,0.2,0.0,0.09
282,283.0,천창호,1954-02-13,Lotte Giants,1985,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.0,13.0,12.0,98.0,21.0,0.0,0.0,3.0,7.0,1.0,2.0,10.0,0.0,0.0,4.7,4.09,1.22,72.6,83.5,0.19,0.0,0.09
283,284.0,송진호,1957-08-16,Samsung Lions,1985,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.2,8.0,8.0,59.0,20.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,5.68,2.85,1.97,62.5,124.7,0.18,0.0,0.09
284,285.0,성낙수,1957-08-12,Samsung Lions,1983,19.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,55.0,33.0,30.0,234.0,63.0,0.0,0.0,10.0,13.0,0.0,5.0,21.0,0.0,0.0,4.91,4.64,1.38,68.2,72.1,0.18,0.0,0.09
285,286.0,이선희,1955-02-14,MBC Blue Dragons,1987,14.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,38.1,23.0,23.0,175.0,38.0,0.0,0.0,1.0,23.0,1.0,7.0,21.0,0.0,3.0,5.4,3.98,1.59,63.8,86.5,0.18,0.0,0.08
286,287.0,임재준,1962-02-07,Binggre Eagles,1988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.49,0.0,0.0,263.9,0.17,0.0,0.08
